phase,kind,start_sec,end_sec,duration_sec,steady_window_sec,eval_window_sec,stationarity_window_sec,transient_start_sec,settle_search_start_sec,settled_start_sec,eval_start_sec,eval_end_sec,settled,not_settled_reason,stationarity_metrics,evaluated_component,repeat,velocity_key,velocity_speed_mps,desired,steady_actual,denominator,error_percent,sample_count,steady_sample_count,eval_sample_count
hold_after_velocity_2mps_at_A,hold,339.0,347.0,8.0,,5.0,3.0,339.0,339.0,,,,,,,,10,,,,,,,80,,
position_vertex_00,position,347.0,365.0,18.0,,5.0,3.0,347.0,354.0,354.0,357.0,362.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.06923327683254038, 'position_std_m': 0.05686347711617263, 'position_slope_mps': 0.06634373210132588, 'x_slope_mps': 0.03458058877765546, 'y_slope_mps': -0.05661866890808355}",E_pos,1,,,"[53.86560233966944, 22.07533892661529, 10.0]","[53.88914421081543, 22.12068588256836, 9.96888982772827]",6.180339887498947,0.967904757943306,179,29,50
position_vertex_01,position,365.0,383.0,18.0,,5.0,3.0,365.0,372.0,372.0,375.0,380.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.07521539526420376, 'position_std_m': 0.05658311395870968, 'position_slope_mps': 0.06345748092138134, 'x_slope_mps': 0.03971056252940874, 'y_slope_mps': -0.0494966979553727}",E_pos,2,,,"[49.37686073033998, 26.323609149857322, 10.0]","[49.34335464477539, 26.342931632995604, 9.996279563903808]",6.180339887498949,0.6287176598473718,179,29,50
position_vertex_02,position,383.0,401.0,18.0,,5.0,3.0,383.0,390.0,390.0,393.0,398.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.09077043181448832, 'position_std_m': 0.03863145227138028, 'position_slope_mps': 0.042370453486456336, 'x_slope_mps': 0.04221660656583148, 'y_slope_mps': -0.0036074171804428576}",E_pos,3,,,"[43.24832190005958, 27.12211583784174, 10.0]","[43.21379386901855, 27.12609401702881, 9.989442520141601]",6.1803398874989455,0.587743183402375,178,29,50
position_vertex_03,position,401.0,419.0,18.0,,5.0,3.0,401.0,408.0,408.0,411.0,416.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.05944339274041931, 'position_std_m': 0.03924409858498105, 'position_slope_mps': 0.0450194683634528, 'x_slope_mps': 0.03532410645512012, 'y_slope_mps': 0.027909855515127063}",E_pos,4,,,"[37.82087938062182, 24.165856576002604, 10.0]","[37.7742057800293, 24.139369735717775, 9.971610412597656]",6.180339887498954,0.9823407192171915,178,29,50
position_vertex_04,position,419.0,437.0,18.0,,5.0,3.0,419.0,426.0,426.0,429.0,434.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.07630590293358319, 'position_std_m': 0.055070686994068085, 'position_slope_mps': 0.06294183468173446, 'x_slope_mps': 0.030584092538380615, 'y_slope_mps': 0.055011706360615295}",E_pos,5,,,"[35.16763174246557, 18.58402192280579, 10.0]","[35.134301071166995, 18.551831398010254, 10.012613105773926]",6.180339887498947,0.7770361180948674,178,29,50
position_vertex_05,position,437.0,455.0,18.0,,5.0,3.0,437.0,444.0,444.5,447.5,452.5,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.07849366106516271, 'position_std_m': 0.06105918387391994, 'position_slope_mps': 0.070518726899598, 'x_slope_mps': 0.014402440527019014, 'y_slope_mps': 0.06903231526180885}",E_pos,6,,,"[36.30202940279614, 12.508682996190498, 10.0]","[36.31693145751953, 12.496351013183594, 10.030559158325195]",6.180339887498947,0.5851852503672752,178,29,50
position_vertex_06,position,455.0,473.0,18.0,,5.0,3.0,455.0,462.0,462.0,465.0,470.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.07700871807733758, 'position_std_m': 0.053945410156351514, 'position_slope_mps': 0.061923024721047354, 'x_slope_mps': -0.05500888183566896, 'y_slope_mps': 0.028433851476591266}",E_pos,7,,,"[40.790771012125596, 8.260412772948467, 10.0]","[40.78751541137695, 8.226085357666015, 10.011279468536378]",6.180339887498949,0.5870134515826363,179,29,50
position_vertex_07,position,473.0,491.0,18.0,,5.0,3.0,473.0,480.0,480.0,483.0,488.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.08143502160467078, 'position_std_m': 0.05752934339573449, 'position_slope_mps': 0.06424777416305158, 'x_slope_mps': -0.0641655522335126, 'y_slope_mps': -0.0032493678577294053}",E_pos,8,,,"[46.919309842405994, 7.461906084964049, 10.0]","[46.98113639831543, 7.47691819190979, 10.029182205200195]",6.1803398874989455,1.1325645556135093,178,29,50
position_vertex_08,position,491.0,509.0,18.0,,5.0,3.0,491.0,498.0,498.0,501.0,506.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.059947147165401414, 'position_std_m': 0.03734784392995071, 'position_slope_mps': 0.04196097937227548, 'x_slope_mps': -0.03606115855122362, 'y_slope_mps': -0.021454990883802316}",E_pos,9,,,"[52.34675236184375, 10.418165346803184, 10.0]","[52.40357292175293, 10.439218215942383, 10.067296276092529]",6.180339887498947,1.4652446342572478,179,29,50
